exam_number,question_number,question_text,options,generated_answer,actual_answer
7,12,"""Pollution is a civil wrong. By its very nature, it is a tort committed against the community as a whole. A person, therefore, who is guilty of causing pollution, has to pay damages (compensation) for restoration"" of the environment. He has also to pay damages to those who have suffered loss on account of the act of the offender. Further, the offender can also be held liable to pay exemplary damages so that it may act as a deterrent for others not to cause pollution in any manner. However, the court cannot impose any pollution fine in absence of any trial and finding of guilty under the relevant statutory provisions."" This observation was made in","A) M.C. Mehta v. Kamal Nath 
 B) Calcutta Tanneries Case 
 C) M.C. Mehta v. UOI 
 D) A.P. Pollution Control Board v. M.V. Nayudu", C,A
7,13,India became a party to the International Convention on Biological Diversity in,"A) 1992 
 B) 1995 
 C) 1994 
 D) 2000", C,C
7,14,"""A"", a railway company is in possession of goods as a consignee. It does not claim any interest in the goods except lien of wharfage, demurrage and freight but rival claims have been made by ""B"" and ""C"" adversely to each other ""A"" can institute","A) An application to decide the same 
 B) An interpleader suit 
 C) Friendly suit 
 D) None of the above", B,B
7,15,"As per the provisions of the Criminal procedure Code, the word 'inspection' used in S.93(1) (C) refers to","A) Things or documents 
 B) Documents only 
 C) Locality and place 
 D) None of the above", B,C
7,16,Statement recorded during investigation under S.161 of Cr.P. C can be used during trial for,"A) Corroborating the witness 
 B) Contradicting the witness 
 C) Both A and B 
 D) Neither A nor B", C,B
7,17,"""If an accused is charged of a major offence but is not found guilty thereunder, he can be convicted of minor offence, if the facts, established indicate that such minor offence has been committed."" It was so upheld in which case","A) Sangarabonia Sreenu v. State of Andhra Pradesh 
 B) State of Himachal Pradesh v. Tara Dutta 
 C) Shamsher Singh v.State of Punjab 
 D) Nalini v. State of Tamil Nadu", C,B
7,18,'Ex dolo malo oritur actio' is,"A) An action arose only when a right infringes 
 B) An action could not prevent a legal right 
 C) No action on an immoral act 
 D) None of the above", C,C
7,19,The Jural correlative of immunity is,"A) Power 
 B) Disability 
 C) No claim 
 D) Claim", C,B
7,20,"Who defines ""eternal law as, the divine order or will of God which requires the preservation of natural order and forbids the breach of it.""","A) Ambrose 
 B) Augustine 
 C) Gregory 
 D) All the above", B,B
7,21,"'Government, even in its best state, is but a necessary evil; in its worst state, an intolerable one.' Who stated so?","A) Thomas Paine 
 B) Gregory Peck 
 C) Jefferson 
 D) Dicey", C,A
7,22,The Constitution of India has recognized the concept of tribunals as instruments of quasi-judicial administrative adjudication,"A) Art.39(a) and 39(b) 
 B) Art.323-A and 323-B 
 C) Art.368 
 D) Art.202A and 202B", C) Art.368,B
7,23,Nemojudexin causasua meaning No man shall be a judge in his own cause was first stated by in Dr. Bonham's Case ========,"A) Lord Grey 
 B) Lord Heward 
 C) Lord Coke 
 D) Lord Moulton", C,C
7,24,"General power of the Bar Council of India to make rules is envisaged under which Section of the Advocates Act, 1961","A) S.48 
 B) S. 49 
 C) S.II-2 
 D) S.IV A", B,B
7,25,Seven lamps of advocacy is attributable to,"A) Justice Abbot Parry 
 B) Justice Heward 
 C) Justice Bhagawathy 
 D) Justice Grey ВСІ", C,A
7,26,"Which Section under the Advocates Act,1961 speaks of disciplinary powers of the Bar Council of India","A) 35 
 B) 37 
 C) 36 
 D) 39", C,C
7,27,"S.----- of Advocates Act, 1961 speaks about constitution of Legal Aid Committees","A) 9 
 B) 10 
 C) 9A 
 D) 10A", C,C
7,28,S.89 of the Civil Procedure Code was incorporated through the Civil Procedure Code Amendment Act of -------------which is the prominent provision that discusses about the jurisdiction of civil courts in applying Alternate Dispute Resolution mechanisms.,"A) 1989 
 B) 1999 
 C) 1988 
 D) 2009", C,B
7,29,"In which case the Supreme Court held that Part I of the Arbitration and Conciliation Act would equally apply to international commercial arbitration held outside India, unless any or all provisions have been excluded by agreement between the parties.","A) Bhatia International v. Bulk Trading S.A 
 B) United India Ins. Co. Ltd v. Associated Transport Corpn. Ltd 
 C) Hakam Singh v. Gammon (India) Ltd. 
 D) Ajmera Brothers v. Suraj Naresh Kumar Jain", A,A
7,30,Establishment of Permanent Lok Adalats is envisaged under S. of the Legal Services Authority Act of 1987,"A) 22B 
 B) 22A 
 C) 22(1) 
 D) 22", B,A
7,31,Evidences to document unmeaning in reference to existing facts is called as,"A) Patent ambiguity 
 B) Latent ambiguity 
 C) Both of them 
 D) None of the above", B,B
7,32,Original document is the best evidence Exception to this rule is contained in,"A) Indian Evidence Act 
 B) Criminal Procedure Code 
 C) Bankers Book Evidence Act 
 D) None of these", C,C
7,33,Doctrine of election is based on the foundation that a person taking the benefit of an instrument must,"A) Not bear the burden 
 B) Burden is not the subject of election 
 C) Burden is the subject of election 
 D) Bear the burden", C,D
7,34,Period of limitation for execution of the order of maintenance is ------- from the date on which it becomes due.,"A) 1 year 
 B) 5 years 
 C) 9 years 
 D) 15 years", C,A
7,35,Identify the correct order in which the following law making treaties are concluded 1. The Vienna Convention on Consular Relations 2. The General Agreement on Tariffs and Trade 3. The Declaration of Paris Select the correct answer from the codes given below,"A) 1,3,2 
 B) 3,2,1 
 C) 2,1,3 
 D) 1,2,3", C,C
7,36,Which one of the following doctrine requires that the parties to a treaty are bound to observe its terms in good faith?,"A) The Drago doctrine 
 B) Right of asylum 
 C) Doctrine of equality 
 D) Pacta Sunt Servanda", D,A
7,37,General Assembly adopted the definition of word Aggression through,"A) Resolution 3314 XXIX,1974 
 B) Resolution 3312 XXXIX,1973 
 C) Resolution2213, 1982 
 D) None of the above", C,D
7,38,The admission of a new political entity into the United Nations can be termed as,"A) Express recognition 
 B) Conditional recognition 
 C) Collective recognition 
 D) De-facto recognition", C,C
7,39,"""A State is and becomes and international person through recognition only and exclusively."" Who stated this?","A) L. Oppenheim. 
 B) Hobbes 
 C) Fenwick 
 D) Starke", A,A
7,40,The United Nations Commission on International Trade Law (UNCITRAL) adopted the Model Law on e-commerce in,"A) 1997 
 B) 1998 
 C) 1996 
 D) 2013", C,C
7,41,"Section 3 of Information Technology Act,2000 which was originally ""Digital Signature"" was renamed as -in ITAA - 2008","A) ""Digital Signature and Electronic Signature"" 
 B) ""Digital Signature and E- Signature"" 
 C) ""Digital and Electronic Signature 
 D) None of the above", B,A
7,42,Which among the following are the digital signature certifying authorities in India?,"A) M/s. Safescript 
 B) M/s. NCERT 
 C) M/s. MTL 
 D) All the above", C,A
7,43,Section 43 of the Information Technology Act deals with,"A) Criminal liability 
 B) Civil liability 
 C) Both the above 
 D) None of the above", C,B
7,44,"""Where a body corporate is negligent in implementing reasonable security practices and thereby causes wrongful loss or gain to any person, such body corporate shall be liable to pay damages by way of compensation to the person so affected."" Which section of the Information Technology Amendment Act, 2008 envisages so","A) 43 
 B) 43A 
 C) 43B 
 D) 43C", B,B
7,45,"R obtained a sum of Rs.50,000/- from D by putting Din fear of death. Here R commits","A) Extortion 
 B) Cheating 
 C) Mischief 
 D) Robbery", A,A
7,46,What is the period of limitation to file a suit for compensation for false imprisonment?,"A) 2 years 
 B) 3 years 
 C) 12 years 
 D) 1year", C,D
7,47,"As per S.19 of the Limitation Act, 1963 if any payment is made on account of a debt, before the expiration of the prescribed period by the person liable to pay the debt or by his agent duly authorized in that behalf a fresh period of limitation starts running from the","A) Time when suit was filed 
 B) When the payment was made 
 C) When the creditor demands 
 D) None of the above", B,C
7,48,"Under the Companies Act, 2013, any company having a net worth of rupees 500 crore or more or a turnover of rupees 1,000 crore or more or a net profit of rupees 5 crore or more should mandatorily spend of their net profits per fiscal on Corporate Social Responsibility activities","A) 3% 
 B) 5% 
 C) 10% 
 D) 2% ‒‒‒‒‒‒‒‒‒‒‒", C,D
7,49,The Guidelines constitute one of the most comprehensive CSR tools available to companies.,"A) OECD 
 B) OACF 
 C) OECG 
 D) ASEAN", A,A
7,50,Conditions of Hindu Marriage have been laid down under of Hindu Marriage Act,"A) Sec. 9 
 B) Sec. 10 
 C) Sec.5 
 D) Sec. 13", C,C
7,51,"The Hindu Succession (Amendment) Act, 2005,","A) Allows daughters of the deceased equal rights with daughter 
 B) Allows sons of the deceased equal rights with widows 
 C) Allows daughters of the deceased equal rights with wife 
 D) Allows daughters of the deceased equal, rights with sons", C,D
7,52,The Fuller /Hart Debate could be summarized as a debate between which two jurisprudential approaches/positions,"A) Positivism and utilitarianism 
 B) Natural Law and Positivism 
 C) Positivism and Liberalism 
 D) Marxism and liberal feminism", B,B
7,53,In bailment if the goods are lent free of cost to the bailee for his use it is known as bailment by,"A) Deposition 
 B) Pledge 
 C) Commodation 
 D) None of the above", C,C
7,54,"Where the proposal and acceptance is through letters, the contract is made at the place where","A) The acceptance is received 
 B) The letter of acceptance is posted 
 C) Both the above answers 
 D) None of the above", C,B
7,55,The surety stands discharged by,"A) Death 
 B) Revocation 
 C) Variance in the terms of the contract without his consent 
 D) None of the above", C,C
7,56,All contracts which are unlawful and void are known as,"A) Illegal contracts 
 B) Nugatory contracts 
 C) Voidable contracts 
 D) None of the above", B,B
7,57,S.------ of the Negotiable instruments Act deals with 'noting'.,"A) 100 
 B) 101 
 C) 102 
 D) 99", C,D
7,58,Cancellation of crossing is also called,"A) Marking 
 B) Opening of crossing 
 C) Cancellation 
 D) None of the above", C,B
7,59,Negotiable claim issued by a bank in return for a term deposit is called,"A) Share certificate 
 B) Certificate of incorporation 
 C) Certificate of deposit 
 D) Term deposit", C,C
7,60,Wager relate with,"A) Present event 
 B) Past event 
 C) Future event 
 D) Any of the above", D,D
7,61,"In the judgment of the Supreme Court in Salem Bar Association vs. Union of India, the Supreme Court had requested this committee headed by to prepare a case management formula.","A) Justice.Bhagwathi 
 B) Justice Muralidhar 
 C) Justice .Raveendran 
 D) Justice .Jagannandha Rao ‒‒‒‒‒‒‒‒‒‒‒‒", C,D
7,62,The 2013 Companies Act has increased the limit of the number of members in Private Company from 50 to,"A) 100 
 B) 200 
 C) 300 
 D) 150", C,B
7,63,The Standards on Auditing have been accorded legal sanctity in the 2013 Act and would be subject to notification by the,"A) NFRA 
 B) NRFA 
 C) NARF 
 D) SEBI", A,A
7,64,"Quifacit per aliumfacit per se, means","A) act of an agent is the act of principal 
 B) act of an agent is not an act of principal 
 C) principal and agent are liable jointly 
 D) agent must not act in contravention of the act of principal", A,A
7,65,The concept of 'privity of contract' was rejected in,"A) Winterbottom v. Wright 
 B) Donoghue v. Stevenson '1' ∞ 
 C) Longmeid v. Holiday 
 D) Heaven v. Pender", B,B
7,66,----------is observed as the World Consumer Rights Day.,"A) 15th of March 
 B) 16th of March 
 C) 12th of March 
 D) 11th of March", C,A
7,67,Accountability of medical professional and the need for qualitative change in the attitude of the medical service provided by the hospitals was emphasized by the Supreme Court in which of the following cases,"A) Bhatia International v. Bulk Trading S.A 
 B) Indian Medical Association v. V.P. Shantha and Ors 
 C) Manekha Gandhi v. Union of India 
 D) LucknowDevelopment Authority V. M.K.Gupta", C,B
7,68,"Renewal of driving licenses is envisaged under S. of the Motor Vehicles Act, 1988","A) 20 
 B) 21 
 C) 22 
 D) 15", C,D
7,69,S.82 IPC is an illustration for,"A) Presumption of fact 
 B) Presumption of law 
 C) Presumption of fact and presumption of law 
 D) None of the above.", C,B
7,70,Meaning Of praesumuntur mentiri Nemo moriturus,"A) A dying man can never speak truth 
 B) A dying man can never speak falsehood 
 C) A dying man can speak truth 
 D) A dying man may not speak falsehood", C,D
7,71,If a court lower to the Sessions Court tries a murder case that court is called as,"A) Coram sub judice 
 B) Coram non judice 
 C) Coram non subjudice 
 D) Coram judice", C,B
7,72,SFIO stands for,"A) Serious Fraud Investigation Office 
 B) Serious Force Institution Office 
 C) Serious Form Investigation Office 
 D) Serious File Investigation Office", A,A
7,73,"Which provision of the Companies Act,2013 discusses about the issue of bonus shares out of its free reserves or the securities premium account or the capital redemption reserve account, subject to the compliance with certain conditions such as authorization by the articles, approval in the general meeting","A) S.36 
 B) S.43 
 C) S.63 
 D) S.33", C,C
7,74,The question whether the Fundamental Rights can be amended under Art.368 came for consideration first time in,"A) Shankari Prasad v. Union of India 
 B) Keshavananda Bharati v. Union of India 
 C) GolakNath v. State of Punjab 
 D) None of the above 9", B,A
7,75,"A law which violates fundamental rights is not nullity or void-ab-initio but becomes only unenforceable, this doctrine is called as","A) Doctrine of severability 
 B) Doctrine of 3 points 
 C) Tornado doctrine 
 D) Doctrine of eclipse", A,D
7,76,"Equality of opportunity admits discrimination with reasons, It was observed by apex court in","A) State of Kerala v. N.M. Thomas 
 B) Indira Sawhney v. Union of India 
 C) AIR India v. Nargesh Mirza 
 D) All the above", B,A
7,77,An Executive Magistrate may require security for keeping good behavior from habitual offenders for a period not more than,"A) 6 months 
 B) 1 year 
 C) 2 years 
 D) 3 years", C,D
7,78,S.167 of the Criminal Procedure Code provides that the nature of custody can be altered from judicial custody to police custody and vice-versa this alteration can be done during the period of first,"A) 15 days 
 B) 16 days 
 C) 14 days 
 D) 12 days", C,C
7,79,"Under which provision of the Code of Criminal Procedure it is mandatory for a police officer to inform the person arrested, the grounds of arrest and right of bail if the offence is not non-bailable","A) S.150 
 B) S.105 
 C) S.50 
 D) S.510", C,B
7,80,S.41-B is inserted in to the Criminal ¹ Procedure Code on the basis of which among the following decisions,"A) NandiniSatpathy v.PL Dhani 
 B) Sunil Batra v. Delhi Administration 
 C) Prem Shankar Shukla V. Delhi Administration 
 D) D.K.Basu v. State of West Bengal to", C,D
7,81,Civil Surgeon shall refer unsound minded person clinical Psychologist/Psychiatrist. However by virtue of S.-------the aggrieved accused may prefer appeal before '7 Medical Board consisting of head of Psychiatry and faculty of Medical College,"A) 328 
 B) 328 1A 
 C) 328(2) 
 D) 346 a", C,C
7,82,What are the remedies open to the party aggrieved in a suit on contracts?,"A) Specific performance and injunction 
 B) Specific performance and damages 
 C) Specific performance only 
 D) All the above", D,D
7,83,"'A' resides at Delhi, and 'B' at Agra. B borrows Rs.20,000/- from A at Benares and passes a promissory note to A payable at Benares.B fails to repay the loan. A may sue B at","A) Benares or Agra 
 B) Benares only 
 C) Agra only 
 D) Benares, Agra and Delhi."," B) The correct answer is option B: Benares only.

According to the facts given, B borrowed money from A at Benares and passed a promissory note payable at Benares. Therefore, the proper place to sue B for non-repayment of the loan would be Benares, where the promissory note was executed.

It is important to note that the answer is based solely on the information provided and does not consider any other factors that may impact the legal situation.",A
7,84,The general principle of waiver that provides that failure to raise objection in the court of the first instance and at the earliest opportunity shall prevent the defendant from raising such objection at a subsequent stage and the judgment would not be vitiated on the ground of absence of territorial or pecuniary jurisdiction is reflected in which provision of Civil procedure Code,"A) S.15 
 B) S.16 
 C) S.51 
 D) S.21", C,D
7,85,Act of court can do no wrong to any person. Which concept relates to this ideology,"A) Precept 
 B) Caveat 
 C) Restitution 
 D) Injunction", D,C
7,86,Rabindra Kumar Pal@ Dara Singh v.Republic of India a famous case coming under S.30 of Evidence Act is also well known as,"A) Graham Stains Murder case 
 B) Graham Bells Murder case 
 C) Graham Street's Murder case 
 D) Graham Stoits Murder case", C,A
7,87,Statement by a person who is dead is a relevant fact under of the Indian Evidence Act,"A) S.32(3) 
 B) S.32(4) 
 C) S.32(5) 
 D) S.32(6) ‒‒‒‒‒‒‒‒‒‒‒", C,C
7,88,A Charge Sheet filed under S.173 of Cr.P.C is an example of,"A) Public document 
 B) Private document 
 C) Patent document 
 D) Latent document", A,A
7,89,Procedure of investigation of criminal cases under the Criminal Procedure Code is contained in Chapter,"A) XI 
 B) XII 
 C) X 
 D) IX", C,B
7,90,Frost v.Knight is a leading case on,"A) S.32 
 B) S.33 
 C) S.34 
 D) S.35", C,C
7,91,Which among the following is a law based on equity?,"A) Indian Contract Act, 1872 
 B) Indian Penal Code, 1863 
 C) Indian Partnership Act, 1932 
 D) Specific Relief Act, 1963", D,D
7,92,"Which section of the Specific Relief Act, describes temporary Injunction","A) 45 
 B) 41 
 C) 37 
 D) 36", C,C
7,93,The maintenance amount which can be transferred is----,"A) Future maintenance. 
 B) Right to future maintenance 
 C) Arrears of maintenance up to a certain date 
 D) None of the above", C,C
7,94,The maximum period during which property can be tied up is,"A) Only 15 years 
 B) One or more life or lives in being at the date of transfer and the minority of an unborn person 
 C) During the lifetime of the transferor and the minority period of an unborn person 
 D) None of the above.", B,B
7,95,"Whoever causes bodily pain, disease or infirmity to any person is said to have inflicted. on the victim ‒‒‒‒--","A) Grievous hurt 
 B) Hurt 
 C) Assault 
 D) None of the above", B,B
7,96,Personation at Election is an offence under S. --- of the Indian Penal Code,"A) 124 A 
 B) 121 A 
 C) 153 B 
 D) 171 D", C,D
7,97,"Raman having found a key of Raju's house which Raju had lost, commits house trespass by entering Raju's house after opening the door with that key. Raman has committed the offence of","A) House trespass 
 B) Criminal trespass 
 C) House breaking 
 D) None of these", B,C
7,98,"defined crime as ""a violation of public rights and duties due to the whole community considered as community.","A) Blackstone 
 B) Justice Bhagwati 
 C) V.R.Krishnalyer 
 D) Lord Heward", A,A
7,99,Who among the following is not a 'public servant'?,"A) Liquidator 
 B) A Civil Judge 
 C) Secretary of a Co-operative Society 
 D) None of these", D,C
7,100,The Sampoorna Grameen Rozgar Yojana (Universal Rural Employment Programme) was launched in 2001 and was implemented through,"A) Labour offices 1. 
 B) Government 
 C) Panchayati Raj Institutions 
 D) All the above", C,C
9,1,State practice for the formation of customary rule includes 1) State actions 2) State claims,"A) only 1 
 B) only 2 
 C) both 1 and 2 
 D) neither 1 nor 2", C,C
9,2,The Controller of Certifying Authorities in India must maintain a database of the disclosure records of 1) Certifying Authority 2) Cross Certifying Authority 3) Foreign Certifying Authority,"A) 1 and 2 
 B) 2 and 3 
 C) 3 and 1 
 D) 1, 2 and 3", D,A
9,3,"Under section 37 of the IT Act, 2000, the certifying authority can suspend the digital signature certificate if 1) The subscriber is found guilty of malpractice 2) The subscriber is involved in cyber terrorism 3) The subscriber requests for the same 4) In public interest Evelse","A) 1 and 2 
 B) 2 and 3 
 C) 3 and 4 
 D) 4 and 1", C) 3 and 4,C
9,4,"In the cases before Cyber Appellate Tribunal, the appellant","A) Cannot appear in person without a legal practitioner 
 B) Cannot authorize a legal practitioner to appear on his behalf 
 C) Cannot authorize his officer to appear on his behalf 
 D) Cannot authorize his relative who is neither his officer nor a legal practitioner to appear on his behalf", C,D
9,6,The offence of stalking upon second or subsequent conviction is,"A) Non cognizable and Bailable 
 B) Cognizable and Bailable 
 C) Cognizable and Non-bailable 
 D) Non cognizable and Non-bailable", C,C
9,7,"In kidnapping, the consent of minor is","A) wholly immaterial 
 B) partly immaterial 
 C) wholly material 
 D) partly material", A,A
9,8,"Under the provisions of the Trade Unions Act, 1926, any person who has attained the age of.......... may be a member of a registered Trade Union subject to any rules of the Trade Union to the contrary.","A) 14 years 
 B) 15 years 
 C) 18 years 
 D) 21 years", C,C
9,9,"Spurious goods under the provisions of the Consumer Protection Act, 1986 imply","A) Such goods and services which are of poor quality. 
 B) Such goods and services which are claimed to be genuine but they are actually not so 
 C) Such goods and services which might be stolen in nature 
 D) Such goods and services which are not usable in nature", B,B
9,10,Who is liable to pay compensation in case of death or permanent disablement?,"A) Owner of the vehicle 
 B) State Government 
 C) Driver 
 D) Insurance Company", C,A
9,11,Indian Evidence Act applies to,"A) Proceedings before tribunals 
 B) Proceedings before the arbitrator 
 C) Judicial proceedings in court 
 D) All of the above", C) C,C
9,12,Fact in issue means,"A) Fact, existence or non existence of which is admitted by the parties 
 B) Fact, existence or non existence of which is disputed by the parties 
 C) Fact, existence or non existence of which is not disputed by the parties 
 D) All the above", B,B
9,13,In a bailable offence bail is granted as a matter of right,"A) By the police officer 
 B) By the court 
 C) Both by the police officer and the court 
 D) either (a) or (b)", D,C
9,14,The conciliation proceedings,"A) can be used as evidence in any judicial proceedings. 
 B) can be used as evidence only in Arbitral proceedings. 
 C) Can be used as evidence only on the discretion of the judge or arbitrator. 
 D) Cannot be used as evidence in any judicial or arbitral proceedings.", C,D
9,15,The Serious Fraud Investigation Office,"A) Takes up cases suo motto 
 B) Takes up cases for investigation on the basis of application made by the people concerned 
 C) Takes up cases for investigations referred to it by Central Government 
 D) All of the above", D,C
9,16,Directive Principles are,"A) justifiable as fundamental rights 
 B) justifiable but not as fundamental rights 
 C) decorative portions of Indian Constitution 
 D) not justifiable, yet fundamental in the governance of the country", B,D
9,17,Who has the power to dissolve the Lok Sabha,"A) President 
 B) Prime Minister 
 C) Speaker of Lok Sabha 
 D) Council of Ministers", C,A
9,18,An amendment of the Constitution can be initiated by introduction of Bill for such purpose in,"A) Council of States 
 B) House of People 
 C) either in council of States or House of people 
 D) none of the above", C,C
9,19,"Which of the following is a function of Central Pollution Control Board under the provisions of Section 16 of the Air (Prevention and Control of Pollution Act, 1981.?","A) To carry out and sponsor investigation and research relating to problems of pollution and prevention, control or abatement of pollution. 
 B) To improve the quality of air 
 C) Both A and B 
 D) neither A nor B", C,B
9,20,The destruction of fish by use of explosive or by poisoning the water is prohibited by,"A) Indian Environment (Protection) Act, 1986 
 B) The Water (Prevention and Control of Pollution) Act, 1974 
 C) Indian Fisheries Act, 1897 
 D) The National Green Tribunal Act, 2010", B,C
9,21,Section 10 of CPC does not apply,"A) when the previous suit is pending in the same court 
 B) when the previous suit is pending in a foreign court 
 C) when the previous suit is pending in any other court of India. 
 D) when the previous suit is pending in a court outside India established by the Central Government", C,B
9,22,Principle of Resjudicata is,"A) Mandatory 
 B) Directory 
 C) Discretionary 
 D) All the above", C,A
9,23,International law is a weak law because,"A) It is not enforceable as such, it is not a law but a positive morality 
 B) There is absence of compulsory dispute settlement mechanisms and independent system of sanctions 
 C) It only includes States as subjects 
 D) There is no dependable sources available", B,B
9,24,Which of the following territories have been declared as Common Heritage of Mankind Territories. (1) Moon (2) High seas (3) Deep sea bed (4) Antarctica,"A) 1, 2 and 4 
 B) 1 and 3 
 C) 2,3, and 4 
 D) 2 and 4", C,B
9,25,Which of the following is not the objective of the United Nations,"A) Maintenance of International peace and security 
 B) Ensuring respect for treaty obligations 
 C) Establishment of democratic governments throughout the world 
 D) Promotion of better standards of life", C,C
9,26,"The committee that led to the passing of the Criminal Law Amendment Act, 2013 was headed by","A) Justice Dalveer Bhandari 
 B) Justice Altamas Kabeer 
 C) Justice J.S. Verma. 
 D) Justice J.S. Anand", C,C
9,27,What is true of perpetual injunction,"A) It is a judicial process 
 B) preventive in nature 
 C) the thing prevented is a wrongful act 
 D) all of the above", C,B
9,28,"The provisions of do not apply to trade unions registered under the provisions of Trade Union Act, 1926","A) The Co-operative Societies Act, 1912 
 B) The Companies Act, 1956 
 C) Both a and b 
 D) Neither a nor b", C,C
9,29,According to Salmond every legal right,"A) Cannot be vested in a person 
 B) Is availed against a person upon whom lies the correlative duty 
 C) Cannot oblige the person bound to an act or omission in favour of the person entitled 
 D) Cannot have a title", B,B
9,30,The binding force of precedent is destroyed or weakened by,"A) Public opinion 
 B) Abrogated decision 
 C) Res judicata 
 D) Lis pendens", B,B
9,31,Which of the following is true in respect of a Government contract which does not confirm to provisions of Article 299 of the Constitution,"A) They are not enforceable in court against the parties 
 B) They can be rectified by the Government 
 C) Both A and B 
 D) Neither A nor B", C,A
9,32,"State Bar Council under the provisions of section 35 of the Advocates Act, 1961 has the authority to","A) Reprimand the advocate 
 B) Suspend the advocate from practice for such period of time as it may deem fit 
 C) Remove the name of the advocate from the state roll of advocates 
 D) All of these", D,D
9,33,Which of the following is untrue regarding qualification for a person to be admitted on the state rolls maintained by State Bar Councils,"A) The minimum age of requirement is 21 years. 
 B) He must be an Indian Citizen 
 C) He must not have been convicted of an offence involving moral turpitude 
 D) They must not have been convicted of an offence under the provisions of the Untouchability (Offences) Act 1958", C,B
9,34,Time which has begun to run can be stopped in case of,"A) Minority 
 B) Insanity 
 C) Idiocy 
 D) None of the above", D,D
9,35,"If an instrument may be construed either as promissory note or bill of exchange, it is","A) a valid instrument 
 B) an ambiguous instrument 
 C) a returnable instrument 
 D) none of the above", B,B
9,36,How is the net worth of a foreign Company calculated for the purpose of Corporate Social Responsibility.,"A) The networth will be calculated as per section 198 of Companies Act, 2013 
 B) It shall be calculated as per section 197 of the Companies Act, 2013 
 C) It shall be calculated as per section 197 and section 381 of the Companies Act, 2013 
 D) It shall be calculated as per section 198 and section 381 of Companies Act, 2013", C,D
9,37,According to one of the theories of punishment evil should be returned by evil. This theory is called the,"A) Reformative Theory 
 B) Deterrent Theory 
 C) Preventive Theory 
 D) Retributive Theory", D,D
9,38,"Which of the following actions can be taken by a Registrar under section 4 (5) of the Companies Act, 2013","A) He can direct the Company to change it's name within a period of 6 months after passing an ordinary resolution 
 B) Take action for striking off the name of the Company from the registrar of Companies 
 C) Order winding up of the Company on his own accord 
 D) All of these", D,B
9,39,"Which of the following are included in the concept of ""State"" under Article 12","A) Railway Board and Electricity Board 
 B) Judiciary 
 C) University 
 D) All of the above", D,D
9,40,The word procedure established by law in Article 21 means,"A) that due process of law must be followed 
 B) A procedure laid down or enacted by a competent authority 
 C) The same thing as due process of law 
 D) A law which is reasonable, just and fair.", A,D
9,41,"Objection as to non-joinder or mis-joinder of parties under Order 1, Rule 13 of CPC","A) Can be taken at any stage of the proceedings 
 B) should be taken at the earliest possible opportunity or shall be invalid 
 C) can be taken in appeal or revision for the first time 
 D) either a or c", B,B
9,42,Objection as to the place of suing,"A) can only be taken before the court of first instance at the earliest possible opportunity 
 B) can also be taken before the appellate court for the first time 
 C) can also be taken before the court of revision for the first time 
 D) all of the above", A,A
